offerdLoad,throughput,numOfTransmissions,numOfCollisions,fracMediaFree,numPktPerNode,avgLatencyPerNode
0.1,0.102466555406,100480,480,0.878609502326,10000,204.48283
0.2,0.205436412767,102417,2417,0.755568823237,10000,274.6562
0.3,0.311609797504,107692,7692,0.62647105692,10000,427.93007
0.4,0.421607222585,136461,36461,0.47411377544,10000,3704.714
0.5,0.442001911984,155975,55975,0.430805598624,10000,1982438.79011
0.6,0.442136515475,155471,55471,0.431289994007,10000,3657042.4415
0.7,0.440956675515,156069,56069,0.431367771898,10000,4866413.97902
0.8,0.440299037175,155931,55931,0.430830254655,10000,5732196.06256
0.9,0.440542788851,155748,55748,0.430780135007,10000,6397279.58201
10.0,0.441834496469,156266,56266,0.430531817994,10000,11477332.6014
1.0,0.441921560245,156245,56245,0.430564164029,10000,6993861.60784
1.1,0.438459408467,156436,56436,0.431391878149,10000,7437057.62139
1.2,0.439490363129,156806,56806,0.430593590937,10000,7817091.01309
1.3,0.443634193042,156259,56259,0.430672117905,10000,8121179.15139
1.4,0.441728566658,156722,56722,0.431099673702,10000,8415630.19796
1.5,0.441683884703,155540,55540,0.430695582072,10000,8626116.31044
1.6,0.441922781611,157483,57483,0.430957952109,10000,8858991.70777
1.7,0.440675497917,155751,55751,0.431051609109,10000,9026600.71322
1.8,0.442487395482,155836,55836,0.430532026112,10000,9195391.03249
1.9,0.441700808164,156000,56000,0.430537032633,10000,9334246.77291
2.0,0.440554223459,156029,56029,0.430950004305,10000,9464221.87278
2.1,0.441188470559,155879,55879,0.430394190871,10000,9585084.29386
2.2,0.439823581469,156429,56429,0.431397794133,10000,9714577.07894
2.3,0.441878980581,156467,56467,0.430236340333,10000,9799924.64041
2.4,0.441639466815,155871,55871,0.43108063985,10000,9893179.00587
2.5,0.442018666506,155626,55626,0.430801897824,10000,9962727.28188
2.6,0.442500757667,155603,55603,0.431014614111,10000,10052140.7879
2.7,0.441368677628,156052,56052,0.431818603166,10000,10140497.0377
2.8,0.441559760398,156462,56462,0.430661335649,10000,10180535.9609
2.9,0.442291425621,155523,55523,0.430455738329,10000,10227120.1968
3.0,0.44100699188,155996,55996,0.430894501189,10000,10313032.7832
3.1,0.442754828109,156048,56048,0.430755544931,10000,10374395.784
3.2,0.442951542213,155842,55842,0.430491029053,10000,10407603.1836
3.3,0.439656727599,156054,56054,0.430919470732,10000,10460853.1948
3.4,0.441363165632,156085,56085,0.430729333315,10000,10508668.0827
3.5,0.442382120615,155920,55920,0.430635029903,10000,10538702.9504
3.6,0.44172096801,155869,55869,0.431223778286,10000,10599564.7222
3.7,0.440904570078,156043,56043,0.430879791045,10000,10621221.3651
3.8,0.441635121783,156479,56479,0.43117503239,10000,10673834.3163
3.9,0.442411897653,156384,56384,0.430917598537,10000,10711552.4282
4.0,0.440659698149,157031,57031,0.430786960351,10000,10727215.9129
4.1,0.441135531529,156567,56567,0.430942033977,10000,10760320.357
4.2,0.442165185215,156396,56396,0.43040813563,10000,10779034.1511
4.3,0.441350014742,155787,55787,0.431345029604,10000,10827957.8313
4.4,0.441168362801,155853,55853,0.430845512715,10000,10836924.4937
4.5,0.441121679288,155569,55569,0.431129573185,10000,10859871.92
4.6,0.443648305135,155800,55800,0.430539638833,10000,10879529.6168
4.7,0.443416662354,156732,56732,0.431214876845,10000,10956188.4325
4.8,0.442138316337,156210,56210,0.431153756548,10000,10947509.4423
4.9,0.441295909017,156982,56982,0.430749679151,10000,10958978.7593
5.0,0.442457313957,156512,56512,0.431121579684,10000,10983711.7188
5.1,0.440494988643,156193,56193,0.430866181619,10000,10991555.711
5.2,0.442191546824,156745,56745,0.430709891633,10000,11011476.3503
5.3,0.441599274804,155984,55984,0.430957053191,10000,11034119.1942
5.4,0.441967437881,156405,56405,0.431001852744,10000,11057456.5911
5.5,0.442531170758,155394,55394,0.431143127212,10000,11060759.7795
5.6,0.441270844147,156487,56487,0.431256063229,10000,11092214.0283
5.7,0.442035227783,155706,55706,0.431391313534,10000,11101324.01
5.8,0.444382129647,155179,55179,0.430747999551,10000,11096815.1734
5.9,0.4443627788,156193,56193,0.430962709097,10000,11143652.2236
6.0,0.442303316409,155718,55718,0.431314557944,10000,11140977.0495
6.1,0.439307978878,156660,56660,0.431397483019,10000,11156633.5421
6.2,0.441527557544,156390,56390,0.430876276571,10000,11163835.7733
6.3,0.441314958923,156423,56423,0.431654816153,10000,11194367.7105
6.4,0.443134977842,155206,55206,0.430728117515,10000,11180762.007
6.5,0.443631959823,155816,55816,0.430763625327,10000,11209970.8056
6.6,0.441818054483,156337,56337,0.431337386097,10000,11227644.6299
6.7,0.441326011003,156188,56188,0.430745602549,10000,11226575.5516
6.8,0.440998440632,156162,56162,0.431232126963,10000,11250391.601
6.9,0.44285345955,156534,56534,0.430512471851,10000,11262973.2212
7.0,0.443190116245,156428,56428,0.430560503966,10000,11269095.7785
7.1,0.44244069327,155886,55886,0.430830213043,10000,11264841.5279
7.2,0.440422021478,155865,55865,0.430907160197,10000,11276877.7608
7.3,0.439980597824,156385,56385,0.431230753055,10000,11295537.3961
7.4,0.443936107779,155526,55526,0.430704544395,10000,11292110.642
7.5,0.44190652333,155812,55812,0.431375408758,10000,11317917.8284
7.6,0.441826624442,155766,55766,0.431009677683,10000,11328375.4009
7.7,0.442455621993,156184,56184,0.430788470851,10000,11329776.1044
7.8,0.44080487868,155801,55801,0.430736723917,10000,11339290.6939
7.9,0.44460601896,155246,55246,0.430362318206,10000,11329061.6397
8.0,0.443795672458,155799,55799,0.430248449846,10000,11336498.6791
8.1,0.440906803452,155730,55730,0.430931722848,10000,11339115.0315
8.2,0.440801217646,156095,56095,0.430479496262,10000,11368087.2563
8.3,0.442101018079,156079,56079,0.430974046791,10000,11376661.4595
8.4,0.441106578329,155648,55648,0.430748433829,10000,11373148.6954
8.5,0.445365473327,155193,55193,0.43063136013,10000,11386090.5676
8.6,0.442080481828,156101,56101,0.431233446035,10000,11413742.4286
8.7,0.43920984157,156128,56128,0.431663790058,10000,11411462.7596
8.8,0.440994840803,155340,55340,0.431181867501,10000,11399647.4773
8.9,0.440838222964,156003,56003,0.430655885125,10000,11412331.6529
9.0,0.441530741938,156275,56275,0.430785127277,10000,11426420.3675
9.1,0.443653930569,156082,56082,0.430737007505,10000,11431156.2912
9.2,0.440271977027,156263,56263,0.431104821943,10000,11433379.3784
9.3,0.438744395287,156344,56344,0.430980263206,10000,11424611.6743
9.4,0.444931332297,156492,56492,0.430701276749,10000,11458420.6478
9.5,0.441137526201,156872,56872,0.430810755164,10000,11461106.8512
9.6,0.443299644867,156222,56222,0.430606957857,10000,11453299.0817
9.7,0.442686190425,156277,56277,0.430864683251,10000,11474987.2629
9.8,0.438777695351,156135,56135,0.431264240753,10000,11470231.2097
9.9,0.440000010378,156381,56381,0.431490761019,10000,11487159.0053
