offerdLoad,throughput,numOfTransmissions,numOfCollisions,fracMediaFree,numPktPerNode,avgLatencyPerNode
0.1,0.10332536115,100574,574,0.87856949745,10000,204.90713
0.2,0.20840363794,102529,2529,0.7541924733,10000,274.34327
0.3,0.314526881341,107644,7644,0.625270695366,10000,426.6409
0.4,0.42277956902,135639,35639,0.474864551198,10000,3595.99617
0.5,0.44277758898,157120,57120,0.431460181526,10000,1984448.85113
0.6,0.445407490017,155721,55721,0.43046356297,10000,3662939.41552
0.7,0.445169620038,156698,56698,0.430728155357,10000,4856656.63953
0.8,0.445372872294,156056,56056,0.430593062777,10000,5749363.07815
0.9,0.445395343429,156102,56102,0.430608026928,10000,6430290.5203
10.0,0.445723462256,156729,56729,0.430699244848,10000,11496979.2602
1.0,0.447074186401,155668,55668,0.43074291609,10000,6981405.80093
1.1,0.444911844503,156353,56353,0.431074929494,10000,7430687.68245
1.2,0.445855851466,156031,56031,0.430872922653,10000,7812400.65734
1.3,0.445876243025,155695,55695,0.43047964377,10000,8124330.39935
1.4,0.44504134355,156864,56864,0.431251199301,10000,8429196.27667
1.5,0.446558583794,155884,55884,0.429979932616,10000,8635875.2048
1.6,0.444460754626,155901,55901,0.431061541808,10000,8864389.65655
1.7,0.445195762165,156567,56567,0.430766715675,10000,9055289.55249
1.8,0.445585250975,156217,56217,0.430310996201,10000,9206530.21333
1.9,0.444679889197,156542,56542,0.430832588191,10000,9360698.20552
2.0,0.445465109825,156644,56644,0.430570384386,10000,9501858.14363
2.1,0.444945458399,156148,56148,0.431033273279,10000,9609685.11887
2.2,0.446061666713,156396,56396,0.430583159022,10000,9718224.2385
2.3,0.445005581265,156177,56177,0.430460490736,10000,9809684.51854
2.4,0.446355078701,155870,55870,0.430108066572,10000,9879853.01344
2.5,0.446376536755,155915,55915,0.430265862218,10000,9970407.92449
2.6,0.445325891659,156568,56568,0.430437035188,10000,10065750.8927
2.7,0.446827033635,156757,56757,0.430540457509,10000,10151892.739
2.8,0.445863103392,156163,56163,0.431047445126,10000,10206850.1562
2.9,0.445846405586,155330,55330,0.430892735216,10000,10248603.8479
3.0,0.445160271009,157008,57008,0.430589048121,10000,10334441.1623
3.1,0.44577602834,156172,56172,0.43056774555,10000,10375412.9695
3.2,0.446814550654,156455,56455,0.430406917785,10000,10432891.3932
3.3,0.444935805208,156339,56339,0.430440580969,10000,10457221.5467
3.4,0.445442367874,155765,55765,0.430791045827,10000,10509868.4568
3.5,0.445750142706,155657,55657,0.431149616627,10000,10566124.6264
3.6,0.447232571489,155493,55493,0.430165146634,10000,10589429.466
3.7,0.446153121455,155966,55966,0.430225739617,10000,10613399.1266
3.8,0.445465393341,156031,56031,0.430841207734,10000,10681933.7855
3.9,0.446400069403,155702,55702,0.430417809422,10000,10694887.2767
4.0,0.444009936883,157596,57596,0.431016404245,10000,10766886.5233
4.1,0.445908094841,156071,56071,0.430473182789,10000,10764781.0468
4.2,0.445498789114,155990,55990,0.431081240094,10000,10803645.1242
4.3,0.445898808771,156000,56000,0.430808004855,10000,10833662.0367
4.4,0.444953305976,156536,56536,0.430593357113,10000,10852386.6901
4.5,0.445575360471,155683,55683,0.431144924051,10000,10876682.9986
4.6,0.445731500789,155754,55754,0.43063281633,10000,10889959.8597
4.7,0.444369300143,155663,55663,0.430771755982,10000,10905862.1445
4.8,0.44639064344,156274,56274,0.430640458184,10000,10947229.5895
4.9,0.445669852032,155598,55598,0.430454443455,10000,10966045.466
5.0,0.444848741003,156444,56444,0.430966026573,10000,10998257.3301
5.1,0.445008192458,156694,56694,0.431089973679,10000,11018030.1605
5.2,0.446048417055,155793,55793,0.430456227307,10000,11013823.2244
5.3,0.445268392168,156562,56562,0.430740500036,10000,11046875.6044
5.4,0.444851683924,155948,55948,0.430868736191,10000,11065889.5238
5.5,0.444885835492,156363,56363,0.430453784549,10000,11074742.0459
5.6,0.446561606705,156308,56308,0.430200883931,10000,11091128.5657
5.7,0.445882948889,156044,56044,0.430580211629,10000,11103074.4013
5.8,0.444550243311,156738,56738,0.430779967572,10000,11137861.3669
5.9,0.445597368776,156136,56136,0.430773487561,10000,11131821.8131
6.0,0.44620514759,156010,56010,0.430412647708,10000,11147757.2846
6.1,0.444326759184,156327,56327,0.430470589366,10000,11160909.7589
6.2,0.445421076759,155578,55578,0.430365327022,10000,11164837.0983
6.3,0.444391777111,156345,56345,0.4309313297,10000,11206942.4876
6.4,0.445184232297,156071,56071,0.430675274272,10000,11208342.5229
6.5,0.445648179146,155790,55790,0.430298497314,10000,11201728.7538
6.6,0.445323637388,155748,55748,0.430788678685,10000,11217782.2388
6.7,0.446065018581,156528,56528,0.430907739139,10000,11254874.7639
6.8,0.445811339021,156310,56310,0.430892029641,10000,11264460.2793
6.9,0.445787751738,156582,56582,0.431053908499,10000,11283426.0489
7.0,0.445592037088,156304,56304,0.430332157308,10000,11270998.9688
7.1,0.44616446877,156591,56591,0.430633862555,10000,11302364.9179
7.2,0.445351498105,156005,56005,0.430469149026,10000,11301675.9378
7.3,0.445377347854,156151,56151,0.430063246798,10000,11287791.2753
7.4,0.445012796354,156037,56037,0.430797158473,10000,11307862.5196
7.5,0.445391239673,156044,56044,0.430645838691,10000,11314348.0774
7.6,0.445682287834,156410,56410,0.430273638353,10000,11318500.945
